"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"Providence","RI","Providence-Warwick","Providence County",166,1415.59,0.01,0.0071,0.0176,43222
2019-10-31,"Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",167,1924.34,0.0058,0.0114,0.0117,107141
2019-10-31,"Ontario","CA","Riverside-San Bernardino-Ontario","San Bernardino County",168,2104.3,0.0042,0.0123,0.0159,41706
2019-10-31,"Columbus","GA","Columbus","Muscogee County",169,822.11,0.0282,0.0325,0.0078,56252
2019-10-31,"Sioux Falls","SD","Sioux Falls","Minnehaha County",170,984.91,0.0059,0.0104,0.0039,53059
2019-10-31,"Charleston","SC","Charleston-North Charleston","Charleston County",171,1688.45,-0.0118,-0.0131,0.0118,81944
2019-10-31,"Kissimmee","FL","Orlando-Kissimmee-Sanford","Osceola County",172,1475.42,0.0155,0.0298,0.0259,69395
2019-10-31,"Chattanooga","TN","Chattanooga","Hamilton County",173,1189.5,0.0121,0.0103,0.031,62876
2019-10-31,"Tempe","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",174,1516.56,0.0106,0.0288,0.0557,54665
2019-10-31,"Murfreesboro","TN","Nashville-Davidson--Murfreesboro--Franklin","Rutherford County",175,1317.13,0.0076,0.0202,0.0072,87337
2019-10-31,"Rancho Cucamonga","CA","Riverside-San Bernardino-Ontario","San Bernardino County",176,2247.97,0.0073,0.017,0.011,51737
2019-10-31,"Cape Coral","FL","Cape Coral-Fort Myers","Lee County",177,1429.51,-0.003,-0.0037,0.0006,98759
2019-10-31,"Savannah","GA","Savannah","Chatham County",178,1277.22,0.0076,0.0184,0.0219,58577
2019-10-31,"Fredericksburg","VA","Washington-Arlington-Alexandria","Spotsylvania County",179,1346.86,0.0079,0.0166,-0.0002,58805
2019-10-31,"Killeen","TX","Killeen-Temple","Bell County",180,833.19,0.006,0.0072,0.0164,50276
2019-10-31,"Palmdale","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",181,1971.6,-0.0033,0.0026,0.0522,51286
2019-10-31,"Roanoke","VA","Roanoke","Roanoke City",182,992.97,-0.0038,-0.0075,-0.0395,62697
2019-10-31,"Newport News","VA","Virginia Beach-Norfolk-Newport News","Newport News City",183,1109.74,0.0085,0.009,0.0024,54721
2019-10-31,"El Cajon","CA","San Diego-Carlsbad","San Diego County",184,2337.33,0.0051,0.0163,0.0573,38046
2019-10-31,"Clarksville","TN","Clarksville","Montgomery County",185,966.48,0.0185,0.0306,0.0085,76061
2019-10-31,"Jackson","MS","Jackson","Hinds County",186,863.54,0.0203,0.0185,-0.018,54900
2019-10-31,"Elk Grove","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",187,1797.93,0.0021,0.0154,0.0427,54279
2019-10-31,"Peoria","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",188,1366.21,0.0189,0.034,0.0569,71076
2019-10-31,"Sugar Land","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",189,1727.97,0.0016,0.0028,-0.0267,55421
2019-10-31,"Naperville","IL","Chicago-Naperville-Elgin","DuPage County",190,1686.86,0.0023,0.0041,0.0082,45794
2019-10-31,"Fairfax","VA","Washington-Arlington-Alexandria","Fairfax County",191,2106.12,-0.0044,0.0077,0.0301,60043
2019-10-31,"Boynton Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",192,1827.89,0.025,0.0288,0.0073,84250
2019-10-31,"Topeka","KS","Topeka","Shawnee County",193,812.52,0.0067,0.017,-0.0122,58284
2019-10-31,"McKinney","TX","Dallas-Fort Worth-Arlington","Collin County",194,1445.13,-0.0105,-0.0082,-0.0276,68544
2019-10-31,"Lafayette","LA","Lafayette","Lafayette Parish",195,1018.59,-0.0191,-0.0625,-0.0494,3849
2019-10-31,"Pembroke Pines","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",196,1649.18,0.0051,0.0096,0.0085,78101
2019-10-31,"Edmond","OK","Oklahoma City","Oklahoma County",197,1082.61,0.0007,0.0083,-0.0138,67622
2019-10-31,"Lakeland","FL","Lakeland-Winter Haven","Polk County",198,1251.44,0.0199,0.0213,0.0273,47160
2019-10-31,"Pueblo","CO","Pueblo","Pueblo County",199,1090.2,0.0086,0.0128,0.0019,57310
2019-10-31,"Springfield","MA","Springfield","Hampden County",200,1246.65,0.0158,0.0241,0.0356,39658
2019-10-31,"Odessa","TX","Odessa","Ector County",201,1797.89,-0.0532,-0.0816,-0.0425,39234
2019-10-31,"Dayton","OH","Dayton","Montgomery County",202,774.5,0.0178,0.0261,-0.0132,56008
2019-10-31,"Midland","TX","Midland","Midland County",203,1866.86,-0.0588,-0.0632,-0.0494,46614
2019-10-31,"Lakewood","CO","Denver-Aurora-Lakewood","Jefferson County",204,1632.97,0.0081,0.0187,0.0141,57734
2019-10-31,"Cumming","GA","Atlanta-Sandy Springs-Roswell","Forsyth County",205,1761.64,0.0046,0.0047,-0.0033,69867
2019-10-31,"Alexandria","VA","Washington-Arlington-Alexandria","Alexandria City",206,1958.34,0.0088,0.0231,0.0261,70754
2019-10-31,"Tyler","TX","Tyler","Smith County",207,1055.02,-0.0081,-0.0074,-0.0013,47647
2019-10-31,"Pomona","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",208,2187.44,0.0088,0.0161,-0.0031,32072
2019-10-31,"Visalia","CA","Visalia-Porterville","Tulare County",209,1259.58,0.0192,0.0287,0.0404,42797
2019-10-31,"Cypress","TX","Houston-The Woodlands-Sugar Land","Harris County",210,1363.01,0.0152,0.0268,-0.053,69409
2019-10-31,"Round Rock","TX","Austin-Round Rock","Williamson County",211,1509.95,0.013,0.0225,0.0317,54162
2019-10-31,"Ann Arbor","MI","Ann Arbor","Washtenaw County",212,1662.29,-0.0215,-0.0578,-0.0659,46745
2019-10-31,"Whittier","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",213,2376.74,0.0057,0.0117,-0.0017,44006
2019-10-31,"Kansas City","KS","Kansas City","Wyandotte County",214,941.34,0.0024,0.0021,-0.006,51468
2019-10-31,"Sunnyvale","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",215,3608.26,-0.0009,0.006,0.0154,37403
2019-10-31,"Hollywood","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",216,1791.93,0.0044,0.0052,0.0113,73726
2019-10-31,"Las Cruces","NM","Las Cruces","Dona Ana County",217,980.44,0.0175,0.02,0.0123,48477
2019-10-31,"Edinburg","TX","McAllen-Edinburg-Mission","Hidalgo County",218,823.39,0.0011,-0.0011,0.0089,35061
2019-10-31,"Conroe","TX","Houston-The Woodlands-Sugar Land","Montgomery County",219,1361.22,-0.0011,-0.0043,-0.0141,46892
2019-10-31,"South Bend","IN","South Bend-Mishawaka","Saint Joseph County",220,958.38,0.0049,0.0005,-0.0207,57195
2019-10-31,"Cary","NC","Raleigh","Wake County",221,1340.71,0.0117,0.0184,0.0256,58053
2019-10-31,"Paterson","NJ","New York-Newark-Jersey City","Passaic County",222,1627.67,-0.0159,-0.023,-0.0399,7611
